,Molecular Weight,Polar Surface Area,Number of Rings,Number of Rings,Number of Valence Electrons,Number of Aromatic Atoms,Number of Conjugated Bonds,measured log solubility in mols per litre
1,201.225,42.24,2,2,76,11,4,-3.3
2,152.237,17.07,0,0,62,0,3,-2.06
4,84.14299999999999,0.0,1,1,26,5,0,-1.33
6,326.437,0.0,2,2,88,12,1,-7.32
7,272.388,40.46,4,4,108,6,1,-5.03
10,85.10600000000001,29.1,1,1,34,0,1,1.07
11,162.61899999999997,0.0,2,2,54,10,0,-4.14
12,70.135,0.0,0,0,30,0,0,-2.68
13,218.256,58.2,2,2,84,6,2,-2.64
14,198.39399999999995,0.0,0,0,86,0,0,-7.96
15,78.542,0.0,0,0,26,0,0,-1.41
16,88.14999999999999,20.23,0,0,38,0,0,-0.47
17,103.12399999999997,23.79,1,1,38,6,2,-1.0
18,304.35200000000003,53.47,1,1,108,6,1,-3.64
19,172.312,20.23,0,0,74,0,0,-2.94
20,326.437,0.0,2,2,88,12,1,-7.43
21,234.29899999999995,54.86,3,3,92,6,2,-4.593999999999999
22,260.386,18.46,0,0,80,0,0,-4.11
23,179.219,38.33,1,1,70,6,4,-2.35
24,322.243,115.54000000000002,1,1,122,6,8,-5.47
25,116.204,20.23,0,0,50,0,0,-1.81
26,180.167,72.68,2,2,68,9,2,-1.39
27,212.249,75.27000000000001,1,1,84,0,3,-1.661
28,318.0300000000001,0.0,2,2,92,12,3,-6.9
29,158.241,26.3,0,0,66,0,2,-3.17
30,134.22199999999998,0.0,1,1,54,6,0,-3.75
31,288.44,18.46,0,0,92,0,0,-4.755
32,300.314,76.66,2,2,114,12,9,-4.805
33,96.944,0.0,0,0,24,0,0,-1.64
34,180.25000000000003,0.0,3,3,68,12,0,-5.22
35,86.13399999999999,17.07,0,0,36,0,0,-0.85
37,253.367,29.540000000000003,1,1,94,6,3,-3.927
38,353.4900000000001,38.77,1,1,124,0,2,-4.15
39,226.101,0.0,0,0,50,0,0,-4.81
40,188.657,0.0,2,2,64,12,1,-4.88
41,86.134,20.23,0,0,36,0,0,-0.15
42,168.15200000000002,75.27,2,2,64,0,3,-1.655
43,156.269,20.23,1,1,66,0,0,-2.53
44,88.106,26.3,0,0,36,0,2,-0.63
45,116.20399999999998,20.23,0,0,50,0,0,-1.55
46,214.062,29.1,1,1,58,6,3,-3.083
47,266.098,60.91,2,2,76,12,3,-3.127
48,346.33900000000017,107.77,2,2,132,6,9,-4.76
49,157.216,12.89,2,2,60,10,0,-1.94
50,110.2,0.0,0,0,46,0,0,-3.66
51,236.27099999999996,75.27000000000001,2,2,92,0,3,-2.17
53,261.119,54.86,1,1,78,6,2,-2.523
54,360.88200000000006,0.0,2,2,94,12,1,-8.6
55,108.14,20.23,1,1,42,6,1,-0.62
56,128.259,0.0,0,0,56,0,0,-5.05
57,156.228,0.0,2,2,60,10,0,-4.14
58,242.321,0.0,4,4,90,18,0,-6.57
59,86.13399999999999,17.07,0,0,36,0,0,-0.19
60,429.77200000000016,0.0,2,2,106,12,1,-9.15
61,116.15999999999998,26.3,0,0,48,0,2,-0.82
63,109.128,46.25,1,1,42,6,2,-0.8
64,260.253,90.06,2,2,98,11,5,-2.81
65,366.84400000000016,54.37,4,4,132,12,3,-5.931
66,229.715,53.940000000000005,1,1,84,6,2,-4.06
67,123.11499999999998,68.87,1,1,46,6,3,-0.667
68,237.097,72.19,0,0,70,0,5,-2.68
69,223.102,0.0,2,2,70,12,1,-5.27
70,238.159,118.04999999999998,2,2,88,5,8,-3.38
71,284.098,52.37,2,2,92,12,5,-5.46
72,152.237,17.07,2,2,62,0,0,-1.96
73,244.25,75.27000000000001,2,2,92,6,3,-2.369
74,130.18699999999998,26.3,0,0,54,0,2,-2.25
75,130.18699999999998,26.3,0,0,54,0,2,-1.92
76,380.444,75.71,3,3,146,12,4,-5.886
77,257.547,0.0,2,2,76,12,1,-6.01
78,122.993,0.0,0,0,26,0,0,-1.73
79,342.2260000000001,49.17,3,3,118,11,0,-3.4930000000000003
80,257.273,55.84,0,0,82,0,4,-1.995
81,146.15299999999996,51.56,2,2,54,10,0,-0.466
82,76.12400000000001,52.04,0,0,24,0,3,0.32
83,106.168,0.0,1,1,42,6,0,-2.77
84,134.22199999999998,0.0,1,1,54,6,0,-3.28
85,236.74,0.0,0,0,50,0,0,-3.67
87,89.09399999999998,43.14,0,0,36,0,2,-0.8
88,154.253,17.07,1,1,64,0,0,-2.35
89,273.723,45.23,3,3,96,12,1,-5.36
90,192.00100000000003,43.14,1,1,58,6,3,-3.48
91,254.355,58.2,1,1,94,0,3,-3.46
93,102.17699999999998,9.23,0,0,44,0,0,-1.34
94,156.22799999999998,0.0,2,2,60,10,0,-4.29
95,268.356,40.46,2,2,104,12,5,-4.07
96,265.914,47.58,1,1,70,6,4,-5.64
97,291.992,0.0,2,2,82,12,1,-7.25
99,120.19499999999996,0.0,1,1,48,6,0,-3.27
100,330.4680000000001,54.370000000000005,4,4,132,0,1,-3.45
101,267.93,25.78,2,2,72,10,0,-5.43
102,150.13,90.15,1,1,60,0,0,0.39
103,84.93299999999999,0.0,0,0,20,0,0,-0.63
104,156.22799999999998,0.0,2,2,60,10,0,-4.17
105,60.05200000000001,26.3,0,0,24,0,2,0.58
106,139.11,63.37,1,1,52,6,4,-1.74
107,126.115,65.72,1,1,48,6,2,-1.506
108,58.124,0.0,0,0,26,0,0,-2.55
110,370.915,44.02,1,1,56,6,3,-3.61
111,327.1230000000001,92.47,2,2,108,12,8,-4.7
112,72.151,0.0,0,0,32,0,0,-3.18
113,94.113,20.23,1,1,36,6,1,0.0
114,193.249,26.02,3,3,72,14,1,-5.17
115,180.167,72.68,2,2,68,9,2,-2.523
116,129.16199999999998,12.89,2,2,48,10,0,-1.45
117,367.86,38.77,1,1,118,6,3,-4.432
118,162.276,0.0,1,1,66,6,0,-5.21
119,188.657,0.0,2,2,64,12,1,-4.54
120,84.16199999999999,0.0,0,0,36,0,0,-3.03
121,114.232,0.0,0,0,50,0,0,-4.8
122,250.339,0.0,1,1,60,6,0,-5.65
123,139.11,63.37,1,1,52,6,4,-1.01
124,140.26999999999998,0.0,0,0,60,0,0,-5.51
125,218.205,78.9,0,0,86,0,6,-0.6
126,209.293,49.25000000000001,1,1,84,6,2,-2.24
127,434.29400000000015,59.32000000000001,3,3,150,12,4,-7.337000000000001
129,179.101,0.0,0,0,50,0,0,-4.43
130,107.156,12.89,1,1,42,6,0,0.36
131,380.4560000000001,94.83,4,4,150,0,1,-3.43
132,225.313,38.33,1,1,82,6,4,-2.09
133,160.16899999999998,52.60000000000001,0,0,64,0,4,-0.82
134,136.238,0.0,1,1,56,0,0,-4.26
135,118.17899999999996,0.0,2,2,46,6,0,-3.04
136,150.22099999999998,20.23,1,1,60,6,1,-2.41
137,154.125,75.27,2,2,58,0,3,-1.886
138,238.455,0.0,1,1,42,6,0,-3.55
139,207.07,0.0,2,2,54,10,0,-4.35
140,70.135,0.0,0,0,30,0,0,-2.54
141,107.156,12.89,1,1,42,6,0,0.45
142,131.389,0.0,0,0,30,0,0,-1.96
143,143.189,26.02,2,2,54,10,1,-1.92
144,106.168,0.0,1,1,42,6,0,-2.82
145,148.125,71.79,2,2,54,10,1,-1.947
146,32.042,20.23,0,0,14,0,0,1.57
147,226.276,75.27000000000001,1,1,90,0,3,-2.468
148,72.107,17.07,0,0,30,0,0,0.52
149,130.078,65.72,1,1,48,6,2,-1.077
151,110.11199999999998,40.46,1,1,42,6,2,0.81
152,102.177,20.23,0,0,44,0,0,-1.24
153,106.596,0.0,0,0,38,0,0,-2.73
154,54.09199999999999,0.0,0,0,22,0,3,-1.87
155,102.13299999999998,26.3,0,0,42,0,2,-0.72
156,148.205,20.23,2,2,58,6,1,-1.99
157,93.513,43.09,0,0,30,0,2,-0.02
158,413.0,27.69,1,1,90,6,1,-6.62
159,126.586,0.0,1,1,42,6,0,-3.08
160,214.294,73.8,1,1,78,6,2,-2.253
161,368.3690000000001,44.760000000000005,3,3,134,18,3,-6.01
162,100.161,17.07,0,0,42,0,0,-1.3
163,193.246,52.32,1,1,76,6,4,-3.082
164,255.277,68.45,3,3,96,12,2,-3.043
165,154.253,20.23,0,0,64,0,0,-2.46
166,223.102,0.0,2,2,70,12,1,-5.28
168,75.067,43.14,0,0,30,0,2,-0.22
169,333.266,89.51999999999998,1,1,126,6,7,-6.124
170,215.894,0.0,1,1,54,6,0,-4.57
171,218.253,104.64,0,0,88,0,6,-1.807
172,316.48500000000007,37.3,4,4,128,0,0,-4.65
173,141.939,0.0,0,0,14,0,0,-1.0
174,281.35200000000003,83.47,2,2,112,0,2,-1.13
175,394.471,75.71,3,3,152,12,4,-6.301
176,138.20999999999998,17.07,1,1,56,0,1,-1.06
177,212.249,75.27000000000001,1,1,84,0,3,-2.39
178,142.242,17.07,0,0,60,0,0,-2.58
179,217.268,46.17,2,2,84,6,2,-2.337
180,86.178,0.0,0,0,38,0,0,-3.68
181,376.496,27.69,3,3,146,18,3,-8.6
182,250.301,34.89,3,3,94,16,2,-2.925
183,75.498,23.79,0,0,22,0,0,-0.092
184,333.60400000000004,18.46,1,1,96,6,1,-5.752000000000001
185,312.45300000000003,37.3,4,4,124,0,1,-5.66
187,215.894,0.0,1,1,54,6,0,-4.63
189,109.128,46.25,1,1,42,6,2,-0.72
190,186.295,26.3,0,0,78,0,2,-3.8
191,279.336,55.84,1,1,110,6,5,-1.601
192,209.245,47.56,1,1,82,6,5,-2.05
193,92.569,0.0,0,0,32,0,0,-1.96
194,144.17299999999997,20.23,2,2,54,10,1,-2.28
195,345.22600000000017,57.26,2,2,120,11,3,-5.696000000000001
196,82.14599999999999,0.0,0,0,34,0,0,-2.36
197,124.227,0.0,0,0,52,0,0,-4.24
198,126.586,0.0,1,1,42,6,0,-3.52
199,102.177,9.23,0,0,44,0,0,-1.1
200,248.307,86.18,2,2,88,12,2,-3.094
201,46.073,38.05,0,0,20,0,0,1.34
202,40.065000000000005,0.0,0,0,16,0,0,-0.41
203,298.304,63.84,1,1,102,6,5,-4.862
204,281.314,56.790000000000006,0,0,100,0,5,-3.408
205,56.064,17.07,0,0,22,0,3,0.57
206,136.114,74.43,2,2,50,9,1,-2.296
207,145.161,33.120000000000005,2,2,54,10,1,-2.16
208,96.10399999999998,0.0,1,1,36,6,0,-1.8
209,78.542,0.0,0,0,26,0,0,-1.47
210,88.106,26.3,0,0,36,0,2,-0.04
211,100.20499999999998,0.0,0,0,44,0,0,-4.36
212,148.249,0.0,1,1,60,6,0,-4.0
213,154.253,9.23,3,3,64,0,0,-1.64
215,223.102,0.0,2,2,70,12,1,-6.56
216,107.156,12.89,1,1,42,6,0,0.38
217,150.22099999999998,17.07,1,1,60,0,1,-2.06
218,342.875,18.46,1,1,102,6,0,-5.736000000000001
221,182.135,86.28,1,1,68,6,6,-2.82
222,207.07,0.0,2,2,54,10,0,-4.4
223,221.26,53.93,1,1,86,6,7,-2.34
224,162.15200000000002,60.790000000000006,2,2,60,10,1,-1.139
225,266.30400000000003,58.120000000000005,4,4,100,12,1,-3.19
226,313.747,58.4,1,1,104,5,1,-3.658
227,68.11900000000001,0.0,0,0,28,0,3,-2.03
228,154.253,20.23,0,0,64,0,0,-1.99
229,278.335,27.69,1,1,90,6,1,-4.57
230,100.161,20.23,1,1,42,0,0,-0.44
231,182.179,75.27000000000001,1,1,70,0,3,-1.16
232,290.447,37.3,4,4,118,0,0,-4.16
234,168.239,0.0,2,2,64,12,1,-4.62
235,215.688,62.73,1,1,78,6,2,-3.85
236,152.22199999999998,38.05,1,1,52,6,4,-1.77
237,114.188,17.07,0,0,48,0,0,-1.3
238,100.161,17.07,0,0,42,0,0,-0.72
239,128.558,20.23,1,1,42,6,1,-0.7
240,98.145,17.07,1,1,40,0,0,-0.6
241,107.156,26.02,1,1,42,6,1,-0.85
242,144.388,23.79,0,0,34,0,0,-2.168
243,303.67100000000005,46.92,2,2,106,12,3,-4.046
244,156.269,17.07,0,0,66,0,0,-3.3
245,243.742,53.940000000000005,1,1,90,6,2,-3.785
246,165.19199999999998,52.32,1,1,64,6,4,-2.616
247,181.449,0.0,1,1,48,6,0,-3.59
248,343.2170000000001,43.07,4,4,114,17,1,-4.09
249,110.11199999999998,40.46,1,1,42,6,2,0.62
250,254.293,49.330000000000005,3,3,96,12,1,-2.62
251,62.137,0.0,0,0,20,0,0,-0.45
252,171.03699999999998,0.0,1,1,42,6,0,-2.23
253,89.09400000000001,52.32,0,0,36,0,3,0.85
254,384.5160000000002,60.440000000000005,4,4,152,0,3,-5.35
255,116.20399999999998,20.23,0,0,50,0,0,-1.22
256,128.17399999999995,0.0,2,2,48,10,0,-3.6
257,121.18299999999996,12.03,1,1,48,6,1,-1.7
258,252.273,58.2,3,3,94,12,2,-4.097
259,256.348,0.0,4,4,96,18,0,-7.02
260,393.85400000000016,55.84,2,2,126,6,2,-6.34
261,345.6529999999999,18.46,2,2,112,12,2,-6.89
262,381.1120000000001,58.2,2,2,126,12,7,-7.28
263,366.417,75.71,3,3,140,12,4,-4.678
264,198.653,32.34,1,1,70,6,4,-2.89
265,301.296,50.94,3,3,112,17,0,-3.37
267,137.01999999999998,0.0,0,0,32,0,0,-2.37
268,393.698,0.0,1,1,54,6,0,-6.98
269,100.161,17.07,0,0,42,0,0,-0.74
270,215.36199999999997,20.31,1,1,82,0,2,-3.4
271,142.585,9.23,1,1,48,6,1,-2.78
272,505.2060000000002,59.32000000000001,3,3,144,12,4,-8.402000000000001
273,224.26,75.27000000000001,1,1,88,0,3,-2.016
274,277.238,70.83000000000001,1,1,94,6,4,-4.04
275,254.07,0.0,2,2,54,10,0,-4.55
277,62.137,0.0,0,0,20,0,0,-0.6
278,133.405,0.0,0,0,32,0,0,-1.48
279,245.282,47.36000000000001,2,2,94,11,5,-2.09
280,137.13799999999998,63.32000000000001,1,1,52,6,4,-1.82
281,137.138,43.14,1,1,52,6,3,-2.33
282,212.249,75.27000000000001,1,1,84,0,3,-2.766
283,120.19499999999996,0.0,1,1,48,6,0,-3.21
284,134.65,0.0,0,0,50,0,0,-4.0
285,184.195,75.27000000000001,1,1,72,0,3,-2.4
287,167.85,0.0,0,0,38,0,0,-1.74
288,283.331,54.46,3,3,108,12,2,-5.153
289,192.261,0.0,3,3,72,14,0,-5.84
290,278.348,52.60000000000001,1,1,110,6,6,-4.4
291,261.919,29.46,1,1,72,6,2,-4.02
292,299.6909999999999,65.07000000000001,0,0,106,0,4,0.523
293,268.356,37.3,4,4,104,6,1,-5.282
295,153.13699999999997,52.37,1,1,58,6,4,-2.41
296,120.623,0.0,0,0,44,0,0,-3.12
297,429.77200000000016,0.0,2,2,106,12,1,-9.16
300,253.30499999999995,36.44,3,3,96,12,1,-3.324
301,98.96,0.0,0,0,26,0,0,-1.29
302,172.20899999999995,86.18,1,1,60,6,1,-1.34
303,309.36600000000004,89.51999999999998,1,1,122,6,7,-6.49
304,290.832,0.0,1,1,72,0,0,-4.64
305,345.4010000000002,56.790000000000006,1,1,124,6,4,-4.194
306,181.449,0.0,1,1,48,6,0,-4.0
307,153.823,0.0,0,0,32,0,0,-2.31
308,192.001,43.14,1,1,58,6,3,-3.2
309,128.215,20.23,1,1,54,0,0,-1.29
310,302.4580000000001,37.3,4,4,122,0,1,-3.999
311,180.207,64.35,1,1,70,6,5,-2.17
312,112.216,0.0,1,1,48,0,0,-4.47
314,88.14999999999999,9.23,0,0,38,0,0,-0.24
315,148.20499999999998,9.23,1,1,58,6,3,-3.13
317,112.088,65.72,1,1,42,6,2,-1.4880000000000002
318,135.13,80.47999999999999,2,2,50,9,1,-2.12
319,326.437,0.0,2,2,88,12,1,-7.21
320,256.30499999999995,55.24,3,3,98,12,1,-2.596
322,212.252,41.13,2,2,80,12,5,-3.15
323,232.239,75.27000000000001,2,2,88,6,3,-2.322
324,257.547,0.0,2,2,76,12,1,-6.29
325,206.289,32.34,1,1,82,6,4,-3.536
326,259.762,46.09,1,1,88,6,2,-1.716
327,102.17699999999998,20.23,0,0,44,0,0,-1.04
328,130.18699999999998,26.3,0,0,54,0,2,-1.75
329,227.132,129.42000000000002,1,1,84,6,9,-3.22
330,397.52400000000006,64.63,1,1,132,6,0,-4.2
331,98.189,0.0,1,1,42,0,0,-3.51
332,88.10599999999998,26.3,0,0,36,0,2,-0.49
333,134.22199999999995,0.0,1,1,54,6,0,-3.76
334,127.574,26.02,1,1,42,6,1,-1.37
335,100.20499999999998,0.0,0,0,44,0,0,-4.26
337,286.34900000000005,61.830000000000005,2,2,106,6,1,-3.42
338,232.205,32.34,1,1,88,6,4,-3.43
340,360.45000000000016,91.67,4,4,142,0,1,-3.11
342,108.14,20.23,1,1,42,6,1,-0.68
343,365.842,92.5,3,3,126,12,3,-3.5860000000000003
344,404.54700000000025,72.83,3,3,162,0,3,-6.005
345,168.10799999999995,86.28,1,1,62,6,6,-3.39
346,262.309,75.27000000000001,3,3,102,0,3,-2.696
347,200.322,26.3,0,0,84,0,2,-4.1
348,164.208,32.34,1,1,64,6,4,-1.6
349,88.14999999999999,9.23,0,0,38,0,0,-0.66
350,60.096,20.23,0,0,26,0,0,0.43
351,142.201,0.0,2,2,54,10,0,-3.77
352,208.28,0.0,0,0,26,0,0,-1.9
353,270.372,40.46,2,2,106,12,2,-4.43
354,330.3640000000001,71.06,0,0,112,0,4,-3.37
355,126.58599999999996,0.0,1,1,42,6,0,-2.39
356,70.09100000000001,17.07,0,0,28,0,3,0.32
357,293.548,41.57,1,1,82,6,4,-3.924
358,206.288,0.0,3,3,78,14,0,-6.57
359,130.18699999999998,26.3,0,0,54,0,2,-1.87
360,338.79500000000013,80.37,2,2,124,11,6,-4.328
361,153.156,29.1,1,1,58,6,3,-1.78
362,269.77199999999993,29.54,1,1,100,6,3,-3.26
363,82.146,0.0,1,1,34,0,0,-2.59
364,362.4660000000002,94.83,4,4,144,0,1,-3.09
366,157.55599999999998,43.14,1,1,52,6,3,-2.92
367,88.106,26.3,0,0,36,0,2,-0.14
368,157.55599999999998,43.14,1,1,52,6,3,-2.55
369,275.179,32.34,1,1,94,6,4,-4.77
370,256.331,69.56,2,2,94,5,2,-1.877
371,123.11099999999996,43.14,1,1,46,6,3,-1.8
372,204.01,0.0,1,1,36,6,0,-3.01
373,365.8420000000001,92.5,3,3,126,12,2,-3.78
374,241.24299999999997,91.01,1,1,94,6,5,-0.985
375,311.85300000000007,29.54,1,1,118,6,3,-4.19
376,163.003,20.23,1,1,48,6,1,-1.3
